id,age,tenure_months,monthly_charges,contract_type,payment_method,support_calls,churn
1318,47,18,90.4,One year,Credit card,1,0
1319,21,72,68.04,Month-to-month,Electronic check,2,0
1320,58,55,47.81,Month-to-month,Credit card,0,0
1321,31,21,23.89,Two year,Bank transfer,1,0
1322,34,39,60.47,One year,Electronic check,2,0
1323,41,0,83.16,Two year,Electronic check,3,0
1324,20,49,50.41,Two year,Electronic check,0,0
1325,45,9,73.77,Two year,Credit card,3,0
1326,55,36,38.49,One year,Mailed check,0,1
1327,46,21,67.3,One year,Bank transfer,0,1
1328,19,10,42.82,Two year,Electronic check,0,0
1329,40,65,77.8,One year,Credit card,2,0
1330,52,0,57.47,Month-to-month,Mailed check,3,1
1331,18,13,42.19,One year,Credit card,0,0
1332,26,10,55.03,Month-to-month,Mailed check,1,0
1333,54,7,47.7,Two year,Credit card,0,0
1334,45,22,40.45,One year,Bank transfer,2,0
1335,47,22,100.37,One year,Mailed check,0,0
1336,68,20,64.0,Month-to-month,Credit card,0,0
1337,48,27,18.99,Month-to-month,Mailed check,2,0
1338,51,8,55.62,Month-to-month,Credit card,1,1
1339,79,72,103.67,One year,Electronic check,2,0
1340,39,1,51.12,One year,Bank transfer,1,1
1341,30,64,117.04,Month-to-month,Credit card,1,0
1342,47,1,48.73,Month-to-month,Credit card,1,0
1343,48,10,84.09,Month-to-month,Mailed check,1,0
1344,34,16,98.32,Month-to-month,Mailed check,1,0
1345,27,5,82.0,Two year,Credit card,1,1
1346,74,14,37.74,Two year,Electronic check,2,0
1347,46,13,48.39,One year,Credit card,1,0
1348,31,30,103.75,Month-to-month,Electronic check,0,0
1349,54,11,51.53,Month-to-month,Electronic check,0,0
1350,40,15,96.64,Two year,Credit card,1,0
1351,38,9,60.59,Two year,Mailed check,3,0
1352,49,72,84.34,Month-to-month,Mailed check,1,0
1353,23,6,36.25,One year,Electronic check,2,0
1354,46,15,57.04,Month-to-month,Credit card,2,1
1355,68,23,51.57,Month-to-month,Bank transfer,2,0
1356,48,11,77.29,Two year,Credit card,3,0
1357,36,0,72.33,Two year,Electronic check,0,0
1358,34,20,84.57,Two year,Mailed check,0,0
1359,36,15,59.99,Month-to-month,Electronic check,0,1
1360,38,0,46.74,Month-to-month,Mailed check,2,1
1361,36,20,77.57,Two year,Electronic check,3,1
1362,54,7,45.31,One year,Electronic check,1,0
1363,18,31,101.61,Month-to-month,Mailed check,1,0
1364,54,1,67.29,Month-to-month,Bank transfer,2,1
1365,36,13,63.8,Month-to-month,Mailed check,1,1
1366,47,7,82.6,One year,Mailed check,1,0
1367,26,1,68.24,Two year,Mailed check,0,0
1368,60,52,36.35,Month-to-month,Mailed check,1,0
1369,59,15,45.71,Month-to-month,Credit card,0,1
1370,55,11,98.09,Month-to-month,Credit card,3,1
1371,20,37,77.65,One year,Credit card,1,0
1372,53,14,30.06,Month-to-month,Electronic check,1,0
1373,47,25,82.55,Month-to-month,Mailed check,2,0
1374,19,15,58.27,One year,Credit card,0,0
1375,41,13,50.09,Month-to-month,Credit card,0,0
1376,47,26,45.28,One year,Mailed check,1,0
1377,49,0,95.0,One year,Mailed check,1,0
1378,44,14,22.96,Month-to-month,Bank transfer,1,0
1379,46,72,59.86,One year,Credit card,0,0
1380,62,3,73.45,One year,Mailed check,1,0
1381,59,42,115.76,One year,Electronic check,0,0
1382,18,6,84.75,One year,Credit card,0,0
1383,37,50,56.35,Month-to-month,Bank transfer,2,0
1384,39,4,108.83,Month-to-month,Electronic check,4,1
1385,18,11,37.77,Month-to-month,Electronic check,6,1
1386,43,21,79.78,Month-to-month,Bank transfer,0,1
1387,59,72,92.99,Month-to-month,Bank transfer,2,0
1388,26,7,49.02,Month-to-month,Credit card,0,1
1389,46,34,92.54,One year,Electronic check,1,0
1390,29,11,58.8,Month-to-month,Electronic check,1,0
1391,32,39,93.23,Two year,Bank transfer,0,0
1392,62,25,27.76,One year,Electronic check,3,0
1393,34,2,78.67,Month-to-month,Mailed check,1,1
1394,48,18,62.4,One year,Mailed check,4,0
1395,18,3,99.19,Month-to-month,Electronic check,0,1
1396,68,8,70.1,Two year,Credit card,1,0
1397,50,20,104.23,Two year,Electronic check,2,0
1398,39,5,83.44,Two year,Credit card,1,0
1399,50,65,76.56,One year,Bank transfer,2,0
1400,22,14,91.79,Two year,Mailed check,1,0
1401,58,18,92.55,One year,Credit card,4,0
1402,37,19,84.65,Two year,Electronic check,0,0
1403,39,12,18.0,Month-to-month,Credit card,0,0
1404,35,10,46.94,Two year,Electronic check,3,1
1405,33,24,108.2,One year,Credit card,0,0
1406,51,47,45.65,Month-to-month,Electronic check,2,0
1407,45,33,97.01,Two year,Bank transfer,2,0
1408,51,4,88.26,One year,Electronic check,3,0
1409,41,53,59.81,Two year,Mailed check,1,0
1410,49,29,24.47,Month-to-month,Electronic check,0,0
1411,36,52,63.58,One year,Electronic check,1,0
1412,73,10,123.45,One year,Electronic check,2,1
1413,20,53,56.37,Month-to-month,Electronic check,0,0
1414,59,5,50.89,One year,Bank transfer,2,0
1415,61,38,50.76,One year,Mailed check,0,0
1416,30,14,102.47,Month-to-month,Electronic check,1,0
1417,73,0,63.93,One year,Credit card,4,0
1418,55,64,63.95,Month-to-month,Bank transfer,1,0
1419,55,54,113.44,Two year,Electronic check,1,0
1420,42,5,85.24,Two year,Mailed check,0,0
1421,38,8,48.22,Month-to-month,Mailed check,0,0
1422,39,34,44.51,Month-to-month,Bank transfer,0,0
1423,47,34,104.05,Month-to-month,Credit card,0,0
1424,61,31,75.07,Month-to-month,Bank transfer,0,0
1425,44,1,31.42,Two year,Credit card,0,0
1426,29,5,26.17,Month-to-month,Bank transfer,0,0
1427,53,3,42.55,Month-to-month,Credit card,0,0
1428,54,17,41.56,Month-to-month,Bank transfer,1,0
1429,51,0,18.85,One year,Bank transfer,1,0
1430,52,3,42.96,Two year,Bank transfer,2,0
1431,38,21,50.17,Month-to-month,Bank transfer,1,0
1432,28,3,58.88,Month-to-month,Electronic check,3,1
1433,29,30,116.82,Month-to-month,Electronic check,0,0
1434,19,2,63.63,Month-to-month,Electronic check,5,0
1435,45,57,74.36,Month-to-month,Electronic check,1,0
1436,40,6,83.63,One year,Credit card,2,0
1437,35,7,65.12,Month-to-month,Bank transfer,0,0
1438,18,0,80.0,Month-to-month,Electronic check,2,1
1439,24,32,81.82,One year,Mailed check,0,0
1440,57,14,75.16,One year,Electronic check,2,0
1441,32,72,149.96,Month-to-month,Credit card,1,0
1442,47,3,93.23,Month-to-month,Credit card,1,0
1443,22,46,49.86,One year,Electronic check,0,0
1444,62,4,79.86,Month-to-month,Mailed check,0,0
1445,39,23,53.66,Two year,Credit card,2,1
1446,46,9,82.51,Two year,Bank transfer,1,0
1447,74,16,38.02,Two year,Credit card,1,0
1448,63,3,42.76,Month-to-month,Mailed check,3,0
1449,37,25,82.35,Month-to-month,Electronic check,2,0
1450,33,12,96.74,Two year,Bank transfer,3,0
1451,37,0,82.57,Month-to-month,Electronic check,3,1
1452,49,7,92.4,Month-to-month,Credit card,1,1
1453,40,0,79.35,One year,Bank transfer,3,0
1454,36,4,74.91,Month-to-month,Electronic check,3,1
1455,62,41,63.56,One year,Mailed check,0,0
1456,40,9,91.68,Two year,Credit card,2,1
1457,74,31,100.27,One year,Credit card,1,0
1458,43,34,73.52,Month-to-month,Mailed check,0,0
1459,66,0,67.08,Two year,Credit card,1,0
1460,47,66,119.69,One year,Electronic check,3,0
1461,55,11,71.14,Month-to-month,Credit card,2,0
1462,31,37,77.44,One year,Bank transfer,5,0
1463,30,11,83.76,Month-to-month,Electronic check,1,0
1464,48,10,69.05,Month-to-month,Bank transfer,3,0
1465,55,34,54.59,One year,Bank transfer,2,0
1466,42,63,88.9,Month-to-month,Bank transfer,1,0
1467,23,19,71.88,Month-to-month,Electronic check,3,0
1468,22,0,116.06,One year,Bank transfer,3,0
1469,22,16,92.11,Month-to-month,Credit card,1,0
1470,18,8,56.31,Month-to-month,Electronic check,2,0
1471,43,18,90.93,Month-to-month,Electronic check,1,1
1472,57,12,79.5,One year,Credit card,1,0
1473,41,6,103.64,Two year,Bank transfer,0,0
1474,18,1,57.04,Month-to-month,Mailed check,4,0
1475,39,0,74.72,One year,Credit card,3,0
1476,39,28,71.72,Month-to-month,Electronic check,2,1
1477,71,10,72.96,Month-to-month,Credit card,1,0
1478,21,63,57.32,Month-to-month,Mailed check,3,0
1479,36,72,95.2,Month-to-month,Electronic check,0,0
1480,65,31,85.1,Month-to-month,Credit card,0,0
1481,48,20,105.13,One year,Credit card,0,0
1482,49,7,70.8,One year,Electronic check,1,0
1483,43,13,61.65,Two year,Credit card,0,0
1484,46,19,92.58,Two year,Credit card,0,0
1485,52,51,57.79,Month-to-month,Credit card,1,0
1486,30,24,100.72,Month-to-month,Electronic check,0,0
1487,54,6,97.97,Month-to-month,Electronic check,4,1
1488,22,11,103.08,Month-to-month,Bank transfer,1,1
1489,46,72,90.22,Two year,Credit card,2,0
1490,44,5,58.59,Month-to-month,Electronic check,2,0
1491,33,33,77.68,Month-to-month,Mailed check,2,0
1492,41,4,80.1,Month-to-month,Electronic check,1,0
1493,33,4,56.6,Two year,Mailed check,2,0
1494,26,54,111.43,Month-to-month,Bank transfer,3,0
1495,37,14,86.6,One year,Electronic check,0,0
1496,26,15,49.94,Month-to-month,Bank transfer,0,0
1497,46,9,118.42,Month-to-month,Bank transfer,1,0
1498,25,11,74.08,Month-to-month,Mailed check,0,1
1499,51,14,44.75,One year,Credit card,2,0
1500,25,6,50.14,One year,Electronic check,1,1
1501,34,5,107.94,Month-to-month,Electronic check,4,1
1502,33,36,121.02,Month-to-month,Mailed check,1,0
1503,60,9,96.59,Month-to-month,Mailed check,1,0
1504,46,14,105.08,Month-to-month,Electronic check,2,1
1505,39,72,111.22,Month-to-month,Credit card,3,0
1506,48,0,83.92,Month-to-month,Electronic check,5,1
1507,18,7,79.28,One year,Electronic check,1,0
1508,41,17,86.05,Two year,Credit card,3,0
1509,69,49,95.75,One year,Credit card,1,0
1510,43,37,57.01,One year,Mailed check,2,0
1511,42,51,95.95,Two year,Electronic check,0,0
1512,49,7,107.52,Two year,Mailed check,2,0
1513,54,18,67.54,Month-to-month,Electronic check,3,1
1514,18,62,71.47,Month-to-month,Mailed check,1,1
1515,18,43,88.36,Month-to-month,Bank transfer,1,0
1516,44,16,56.16,Two year,Mailed check,0,0
1517,31,2,37.38,Month-to-month,Mailed check,3,0
1518,60,20,101.69,Month-to-month,Bank transfer,0,1
1519,37,0,58.73,Month-to-month,Electronic check,2,1
1520,18,39,76.31,One year,Electronic check,0,0
1521,24,64,64.35,One year,Credit card,4,0
1522,18,32,106.72,One year,Electronic check,2,1
1523,38,7,92.38,One year,Electronic check,0,0
1524,39,15,66.23,Two year,Electronic check,0,0
1525,36,17,43.05,Month-to-month,Bank transfer,4,1
1526,57,10,62.83,Two year,Bank transfer,1,0
1527,58,49,91.6,One year,Mailed check,1,0
1528,39,10,76.22,Month-to-month,Mailed check,0,0
1529,18,46,79.63,Two year,Mailed check,2,0
1530,50,19,78.14,Two year,Electronic check,0,0
1531,49,3,89.42,Two year,Credit card,1,0
1532,46,52,76.75,Two year,Credit card,2,0
1533,55,16,83.65,Month-to-month,Mailed check,1,0
1534,25,2,45.63,Month-to-month,Mailed check,2,0
1535,70,52,141.65,Month-to-month,Credit card,0,0
1536,28,35,68.15,Two year,Electronic check,4,0
1537,52,7,76.14,Two year,Electronic check,2,1
1538,18,13,86.11,Two year,Credit card,3,0
1539,28,60,68.73,Two year,Electronic check,1,0
1540,63,10,71.7,One year,Electronic check,2,0
1541,38,20,72.89,Month-to-month,Mailed check,1,0
1542,53,38,52.85,Month-to-month,Bank transfer,1,1
1543,45,10,82.46,Month-to-month,Bank transfer,1,0
1544,40,47,35.82,One year,Electronic check,2,0
1545,61,28,118.02,Month-to-month,Bank transfer,2,1
1546,38,19,92.67,Two year,Electronic check,1,0
1547,18,16,88.38,One year,Credit card,3,0
1548,30,44,33.18,Month-to-month,Electronic check,2,1
1549,49,32,54.99,Two year,Electronic check,2,0
1550,47,15,106.98,One year,Bank transfer,0,0
1551,20,10,175.28,One year,Electronic check,0,0
1552,31,11,101.52,Month-to-month,Bank transfer,0,0
1553,33,23,99.37,Month-to-month,Electronic check,0,1
1554,36,0,83.12,Month-to-month,Mailed check,3,1
1555,22,4,49.41,Month-to-month,Electronic check,1,1
1556,33,65,104.63,One year,Mailed check,0,0
1557,31,36,47.87,Two year,Electronic check,1,0
1558,52,33,44.69,Two year,Electronic check,1,0
1559,53,18,40.86,Month-to-month,Electronic check,1,0
1560,39,7,95.44,Two year,Credit card,1,0
1561,36,21,71.71,Month-to-month,Bank transfer,2,1
1562,43,0,72.52,Month-to-month,Electronic check,1,1
1563,30,16,72.01,One year,Electronic check,2,0
1564,25,0,41.86,Two year,Electronic check,0,0
1565,28,11,54.88,Two year,Electronic check,3,0
1566,33,72,65.29,Two year,Mailed check,1,0
1567,25,9,36.22,Month-to-month,Mailed check,5,1
1568,44,28,61.59,Month-to-month,Credit card,1,0
1569,52,12,44.77,Month-to-month,Credit card,1,1
1570,19,0,84.44,One year,Electronic check,1,1
1571,42,0,86.52,Month-to-month,Electronic check,1,1
1572,38,3,38.11,Month-to-month,Electronic check,1,0
1573,46,6,63.48,Month-to-month,Electronic check,4,0
1574,41,12,118.2,One year,Mailed check,0,0
1575,21,6,46.38,One year,Electronic check,2,0
1576,24,18,83.37,Month-to-month,Electronic check,1,1
1577,42,36,78.04,Month-to-month,Electronic check,1,1
1578,56,0,97.32,One year,Bank transfer,4,1
1579,18,3,77.84,One year,Electronic check,0,0
1580,46,68,69.42,Month-to-month,Credit card,1,0
1581,58,31,76.32,Month-to-month,Mailed check,0,0
1582,39,4,72.63,Two year,Electronic check,2,0
1583,49,1,67.86,One year,Mailed check,1,1
1584,32,46,43.92,Month-to-month,Mailed check,1,0
1585,40,57,109.63,One year,Mailed check,1,0
1586,19,17,99.21,One year,Mailed check,1,0
1587,18,18,46.6,Month-to-month,Electronic check,2,1
1588,55,2,62.78,Month-to-month,Electronic check,3,1
1589,28,16,66.77,Two year,Electronic check,0,0
1590,35,19,43.94,Month-to-month,Bank transfer,3,0
1591,22,66,33.23,Month-to-month,Bank transfer,1,0
1592,22,4,53.84,One year,Bank transfer,2,0
1593,39,10,62.59,Month-to-month,Credit card,3,1
1594,31,15,36.22,One year,Mailed check,1,0
1595,47,4,75.02,Month-to-month,Credit card,0,0
1596,48,36,104.47,Month-to-month,Mailed check,1,1
1597,46,8,92.25,Month-to-month,Mailed check,1,0
1598,45,8,68.03,Two year,Bank transfer,3,0
1599,64,37,29.54,One year,Electronic check,1,0
1600,27,2,88.19,Two year,Electronic check,1,0
1601,41,18,76.36,Month-to-month,Mailed check,2,0
1602,57,8,81.81,One year,Electronic check,1,0
1603,59,12,120.2,Month-to-month,Electronic check,3,0
1604,22,15,51.63,One year,Credit card,1,0
1605,37,31,18.0,Month-to-month,Mailed check,2,0
1606,61,22,46.96,One year,Electronic check,1,0
1607,49,25,85.9,Month-to-month,Electronic check,1,0
1608,44,21,73.82,Month-to-month,Credit card,1,0
1609,38,15,41.86,One year,Credit card,2,0
1610,36,47,41.56,Month-to-month,Bank transfer,1,0
1611,46,1,61.28,Month-to-month,Electronic check,3,0
1612,38,26,42.75,Two year,Mailed check,2,0
1613,41,16,85.42,Month-to-month,Electronic check,2,1
1614,43,4,60.31,One year,Credit card,1,0
1615,32,64,63.92,Two year,Mailed check,0,0
1616,49,46,57.94,One year,Credit card,5,0
1617,82,47,83.63,Month-to-month,Mailed check,3,0
1618,18,9,72.42,One year,Credit card,0,0
1619,46,21,78.2,Month-to-month,Mailed check,0,0
1620,31,28,78.7,Month-to-month,Mailed check,5,1
1621,50,19,71.05,One year,Mailed check,1,0
1622,42,24,47.77,Two year,Bank transfer,0,0
1623,52,23,55.19,Month-to-month,Credit card,2,0
1624,58,13,62.08,Month-to-month,Mailed check,2,0
1625,44,10,123.13,One year,Credit card,1,0
1626,57,10,37.78,Month-to-month,Mailed check,1,0
1627,18,4,60.13,One year,Electronic check,2,0
1628,64,41,78.61,Month-to-month,Electronic check,1,0
1629,47,69,72.77,Month-to-month,Electronic check,3,0
1630,57,17,99.4,One year,Credit card,0,0
1631,24,18,64.99,Two year,Electronic check,2,0
1632,30,72,74.94,Month-to-month,Electronic check,2,0
1633,44,45,97.12,Two year,Electronic check,2,0
1634,41,35,120.52,Month-to-month,Bank transfer,0,0
1635,45,6,106.09,Month-to-month,Credit card,1,0
1636,57,36,71.98,Month-to-month,Credit card,0,1
1637,18,2,69.06,Month-to-month,Electronic check,1,0
1638,55,5,71.92,One year,Mailed check,5,0
1639,42,19,76.52,Month-to-month,Electronic check,1,1
1640,39,9,50.17,Month-to-month,Credit card,1,1
1641,21,12,95.21,Month-to-month,Electronic check,2,0
1642,49,10,76.67,Two year,Credit card,0,0
1643,18,27,72.93,Two year,Credit card,3,0
1644,51,11,39.87,Month-to-month,Bank transfer,1,1
1645,21,13,73.51,Month-to-month,Credit card,3,1
1646,42,54,30.77,Two year,Electronic check,1,0
1647,40,47,62.51,Month-to-month,Electronic check,0,0
1648,58,1,56.07,Two year,Mailed check,3,0
1649,39,7,78.22,One year,Electronic check,0,0
1650,32,50,124.5,Two year,Bank transfer,0,0
1651,34,0,84.3,Month-to-month,Mailed check,4,1
1652,59,5,106.96,Month-to-month,Credit card,4,1
1653,49,23,89.58,Month-to-month,Credit card,0,0
1654,36,21,101.28,Month-to-month,Electronic check,1,0
1655,38,14,118.53,Month-to-month,Electronic check,3,0
1656,20,13,53.65,Two year,Mailed check,0,0
1657,47,28,54.27,Month-to-month,Electronic check,1,1
1658,18,31,91.37,Month-to-month,Bank transfer,2,0
1659,52,39,75.76,Month-to-month,Bank transfer,1,0
1660,43,16,77.91,Month-to-month,Bank transfer,0,0
1661,75,4,64.38,Month-to-month,Mailed check,2,0
1662,26,21,58.24,Month-to-month,Credit card,1,0
1663,40,32,115.32,One year,Bank transfer,0,0
1664,67,72,53.3,Two year,Credit card,1,0
1665,58,16,89.56,Month-to-month,Credit card,1,0
1666,32,10,84.61,One year,Bank transfer,2,0
1667,45,53,38.47,Month-to-month,Electronic check,0,0
1668,42,1,49.38,Month-to-month,Credit card,4,0
1669,45,11,55.08,Two year,Electronic check,3,0
1670,32,22,87.41,Two year,Mailed check,3,0
1671,40,8,62.02,Month-to-month,Mailed check,1,0
1672,19,47,74.91,Month-to-month,Electronic check,1,0
1673,43,22,36.86,Month-to-month,Electronic check,1,0
1674,48,72,138.95,Month-to-month,Electronic check,0,0
1675,38,14,73.88,One year,Credit card,1,0
1676,19,5,83.23,Month-to-month,Bank transfer,2,0
1677,55,49,63.83,Two year,Credit card,3,0
1678,47,15,55.93,One year,Credit card,0,0
1679,31,37,123.37,Month-to-month,Mailed check,2,0
1680,38,17,24.63,Two year,Credit card,0,0
1681,20,3,77.42,One year,Bank transfer,3,1
1682,27,3,40.16,Month-to-month,Electronic check,3,0
1683,34,9,61.22,Month-to-month,Credit card,2,0
1684,59,3,54.5,Two year,Credit card,0,0
1685,33,1,45.5,Two year,Electronic check,6,0
1686,50,71,81.54,Month-to-month,Credit card,0,0
1687,34,6,18.0,One year,Electronic check,5,0
1688,45,19,64.96,Two year,Credit card,1,0
1689,40,0,67.74,Two year,Bank transfer,5,0
1690,54,12,37.82,Month-to-month,Electronic check,0,0
1691,34,6,108.73,Month-to-month,Credit card,1,0
1692,19,13,57.09,Two year,Mailed check,2,0
1693,22,48,71.26,Month-to-month,Electronic check,1,0
1694,34,9,56.54,Month-to-month,Credit card,3,0
1695,24,27,72.01,One year,Credit card,1,0
1696,47,7,103.75,Month-to-month,Mailed check,1,0
1697,35,29,136.18,One year,Bank transfer,1,0
1698,75,3,89.09,Month-to-month,Electronic check,2,1
1699,18,28,101.4,One year,Electronic check,1,0
1700,44,31,117.56,Month-to-month,Bank transfer,0,0
1701,26,1,76.37,Two year,Electronic check,1,0
1702,35,0,109.26,Month-to-month,Mailed check,3,1
1703,43,24,93.41,Month-to-month,Credit card,0,0
1704,18,9,74.95,Two year,Credit card,1,0
1705,45,47,85.81,One year,Bank transfer,0,0
1706,68,72,35.26,Month-to-month,Bank transfer,0,0
1707,35,18,80.0,Month-to-month,Credit card,2,0
1708,45,22,34.71,One year,Credit card,0,0
1709,56,7,30.42,Two year,Electronic check,1,0
1710,39,72,85.62,Month-to-month,Mailed check,2,1
1711,33,22,45.45,Two year,Electronic check,1,0
1712,18,16,72.22,Month-to-month,Electronic check,2,1
1713,50,15,75.71,One year,Electronic check,1,0
1714,40,2,74.88,Month-to-month,Bank transfer,1,0
1715,27,26,51.3,Month-to-month,Credit card,1,0
1716,43,4,93.07,Two year,Credit card,2,0
1717,33,4,68.37,Month-to-month,Mailed check,3,0
1718,34,28,85.23,Two year,Mailed check,4,0
1719,50,1,40.24,Month-to-month,Electronic check,4,1
1720,23,17,68.09,Month-to-month,Electronic check,1,1
1721,56,21,100.58,Two year,Electronic check,1,0
1722,22,2,94.55,One year,Credit card,3,1
1723,32,7,51.12,Month-to-month,Electronic check,4,1
1724,68,35,61.61,One year,Bank transfer,3,0
1725,57,19,48.13,Month-to-month,Electronic check,2,0
1726,43,11,55.24,Two year,Mailed check,1,0
1727,28,5,35.77,Month-to-month,Credit card,1,1
1728,34,21,69.7,Month-to-month,Credit card,0,0
1729,43,9,87.18,Month-to-month,Electronic check,1,1
1730,42,14,52.47,One year,Credit card,0,0
1731,40,25,71.48,Two year,Electronic check,3,0
1732,41,46,71.39,Two year,Credit card,0,0
1733,38,72,107.18,Month-to-month,Electronic check,0,0
1734,21,33,59.66,Month-to-month,Mailed check,0,0
1735,34,26,59.52,Month-to-month,Bank transfer,0,1
1736,54,72,59.65,Two year,Credit card,1,0
1737,22,8,42.76,Month-to-month,Credit card,2,0
1738,39,17,85.78,One year,Electronic check,2,0
1739,30,15,68.87,Month-to-month,Credit card,2,0
1740,43,24,74.97,Two year,Electronic check,2,0
1741,36,27,105.92,Month-to-month,Electronic check,4,1
1742,62,72,114.1,Month-to-month,Electronic check,1,0
1743,49,4,29.44,Two year,Electronic check,0,0
1744,23,19,89.05,Two year,Electronic check,1,0
1745,51,11,77.29,One year,Bank transfer,3,0
1746,31,4,59.06,One year,Electronic check,2,0
1747,33,3,78.64,One year,Bank transfer,0,0
1748,46,9,28.19,Month-to-month,Electronic check,2,1
1749,35,10,108.07,Month-to-month,Bank transfer,1,0
1750,54,55,91.12,One year,Electronic check,2,0
1751,31,11,50.02,One year,Electronic check,0,0
1752,33,20,58.36,Month-to-month,Bank transfer,1,0
1753,32,25,31.17,Month-to-month,Credit card,1,1
1754,34,22,65.45,One year,Credit card,2,0
1755,57,13,59.88,Month-to-month,Mailed check,2,0
1756,50,56,45.27,One year,Credit card,1,0
1757,65,50,96.92,One year,Bank transfer,3,1
1758,73,19,104.77,Month-to-month,Credit card,2,0
1759,27,2,69.62,Month-to-month,Electronic check,2,0
1760,42,13,64.31,Month-to-month,Electronic check,2,0
1761,25,9,82.22,Month-to-month,Electronic check,0,1
1762,31,17,72.06,One year,Credit card,1,0
1763,33,14,45.05,One year,Electronic check,2,0
1764,27,18,56.38,Two year,Electronic check,1,0
1765,27,24,66.19,Month-to-month,Bank transfer,1,0
1766,39,26,80.1,One year,Credit card,0,0
1767,24,25,73.98,Month-to-month,Bank transfer,0,1
1768,53,31,79.91,Two year,Bank transfer,1,0
1769,29,38,37.58,Month-to-month,Electronic check,2,0
1770,81,13,88.58,One year,Credit card,1,0
1771,35,65,79.84,Month-to-month,Electronic check,1,0
1772,43,72,144.62,Month-to-month,Electronic check,1,0
1773,23,8,61.51,Two year,Mailed check,4,0
1774,65,55,86.34,Month-to-month,Electronic check,1,0
1775,57,25,144.48,Month-to-month,Bank transfer,0,0
1776,46,22,78.15,One year,Bank transfer,2,0
1777,23,4,68.91,Month-to-month,Electronic check,3,1
1778,44,21,48.48,Month-to-month,Electronic check,1,0
1779,26,13,110.16,Month-to-month,Electronic check,0,1
1780,62,72,51.82,Month-to-month,Electronic check,2,0
1781,53,40,86.68,Two year,Credit card,0,0
1782,43,18,60.86,One year,Bank transfer,0,0
1783,18,40,71.27,Month-to-month,Electronic check,1,0
1784,28,15,36.65,Month-to-month,Electronic check,2,0
1785,51,2,103.88,Two year,Credit card,2,0
1786,58,57,71.61,Two year,Credit card,3,0
1787,57,21,42.77,Month-to-month,Credit card,1,0
1788,19,9,102.67,One year,Electronic check,3,0
1789,46,29,61.75,Month-to-month,Mailed check,0,0
1790,56,50,85.87,Month-to-month,Electronic check,1,0
1791,18,36,96.44,Two year,Credit card,2,0
1792,41,13,83.8,Two year,Mailed check,1,0
1793,45,2,18.0,Month-to-month,Bank transfer,2,1
1794,37,49,94.73,Two year,Electronic check,3,0
1795,18,16,69.88,One year,Credit card,0,0
1796,37,0,61.77,One year,Electronic check,5,1
1797,37,4,67.87,One year,Credit card,1,0
1798,39,1,29.9,Month-to-month,Electronic check,1,0
1799,34,27,78.85,Two year,Credit card,0,0
1800,35,53,43.84,Month-to-month,Electronic check,0,0
1801,41,31,67.5,Month-to-month,Bank transfer,1,0
1802,48,5,74.66,Month-to-month,Credit card,4,1
1803,37,64,106.45,Two year,Mailed check,0,0
1804,36,4,50.11,Month-to-month,Electronic check,4,1
1805,43,46,113.19,Month-to-month,Electronic check,1,0
1806,18,20,96.67,One year,Electronic check,4,0
1807,48,0,59.26,Month-to-month,Bank transfer,3,1
1808,41,5,43.03,Month-to-month,Electronic check,2,1
1809,42,2,34.2,Month-to-month,Electronic check,1,1
1810,55,20,79.79,One year,Electronic check,0,0
1811,18,35,56.82,Month-to-month,Electronic check,0,0
1812,18,27,104.03,Month-to-month,Electronic check,2,0
1813,45,50,60.51,Month-to-month,Bank transfer,1,0
1814,41,25,51.23,Two year,Electronic check,5,0
1815,44,4,76.44,One year,Credit card,1,0
1816,35,31,57.5,Month-to-month,Bank transfer,3,0
1817,51,22,73.51,Two year,Mailed check,1,0
1818,55,15,96.9,Two year,Credit card,1,0
1819,48,47,79.98,One year,Bank transfer,0,0
1820,38,72,83.82,Month-to-month,Bank transfer,1,0
1821,18,11,76.78,Month-to-month,Electronic check,0,1
1822,52,17,30.22,One year,Bank transfer,1,0
1823,59,24,83.4,Month-to-month,Electronic check,1,0
1824,51,32,78.8,Month-to-month,Mailed check,0,0
1825,29,31,96.97,Month-to-month,Electronic check,1,0
1826,51,2,85.45,Month-to-month,Mailed check,1,1
1827,54,0,64.95,One year,Bank transfer,2,0
1828,63,23,99.26,Month-to-month,Electronic check,3,1
1829,29,3,63.13,One year,Electronic check,1,0
1830,38,10,77.68,Two year,Credit card,3,0
1831,52,21,65.37,Month-to-month,Electronic check,0,0
1832,42,3,81.99,Month-to-month,Electronic check,2,0
1833,26,40,66.59,Month-to-month,Electronic check,2,1
1834,47,20,114.19,Month-to-month,Credit card,1,0
1835,50,1,120.58,Two year,Bank transfer,0,0
1836,43,0,91.85,One year,Bank transfer,2,0
1837,45,8,109.73,Two year,Credit card,3,0
1838,38,9,32.87,Two year,Bank transfer,0,0
1839,62,21,37.62,Month-to-month,Credit card,2,0
1840,29,4,62.56,One year,Bank transfer,0,0
1841,33,18,73.73,Month-to-month,Credit card,3,1
1842,42,17,67.59,Month-to-month,Bank transfer,1,0
1843,54,15,31.2,Month-to-month,Electronic check,1,0
1844,21,63,108.24,Month-to-month,Electronic check,0,0
1845,23,18,126.55,One year,Electronic check,1,0
1846,18,0,102.02,One year,Mailed check,3,0
1847,42,22,100.44,Month-to-month,Credit card,0,1
1848,26,2,75.95,Month-to-month,Bank transfer,2,0
1849,36,10,50.43,One year,Credit card,0,0
